name, binding energy, ionization energy, dipole magnitude, dipole x, dipole y, dipole z
dsgdb9nsd_000003, -0.356076066494, -0.507894, 0.836025533701, 0.70719, -0.4458, -0.00913
dsgdb9nsd_000004, -0.638103811108, -0.411453, 0.0, 0.0, 0.0, -0.0
dsgdb9nsd_000005, -0.496928212889, -0.497109, 1.18948773247, -0.01615, 1.18936, 0.00656
dsgdb9nsd_000015, -1.23653701579, -0.423569, 0.510492535303, 0.20657, 0.28291, -0.37134
dsgdb9nsd_000019, -1.3543375664, -0.415493, 1.48140707592, 1.32254, 0.47167, 0.47221
dsgdb9nsd_000033, -1.25562703844, -0.388401, 0.75225716866, 0.68593, -0.30875, -0.00802
dsgdb9nsd_000122, -1.88448217131, -0.452319, 1.61953977342, 0.14432, 1.61308, 0.00733
dsgdb9nsd_000141, -1.48714153863, -0.387251, 0.71540369261, -0.55979, -0.10347, 0.43328
dsgdb9nsd_000160, -1.96927915667, -0.416760, 0.637866961756, -0.19782, 0.55971, 0.23338
dsgdb9nsd_000168, -1.28211291351, -0.368434, 2.27691596, -1.83717, 1.3448, 0.0258
dsgdb9nsd_000176, -0.91526303759, -0.458289, 0.811778616681, 0.80035, 0.13556, -0.00692
dsgdb9nsd_000191, -2.04465674291, -0.306423, 0.22402861469, -0.19116, 0.10905, -0.04189
dsgdb9nsd_000201, -2.15125378856, -0.291672, 0.686634289706, -0.02143, -0.52898, -0.43725
dsgdb9nsd_000216, -1.7519384026, -0.359977, 0.0, -0.0, 0.0, 0.0
dsgdb9nsd_000218, -1.55867756281, -0.441036, 2.2360679775e-05, -1e-05, 2e-05, 0.0
dsgdb9nsd_000233, -2.48939161484, -0.359769, 0.0425629475013, 0.0015, 0.04237, 0.00376
dsgdb9nsd_000238, -1.67617148899, -0.441869, 2.67947634429, -1.13114, 2.42778, -0.07746
dsgdb9nsd_000239, -1.86465230459, -0.386661, 0.370945219001, 0.27031, 0.09413, 0.23595
dsgdb9nsd_000261, -2.44556306879, -0.407680, 1.02301823503, 0.27302, 0.57992, 0.79732
dsgdb9nsd_000283, -1.61671768826, -0.423787, 0.00105009523378, 1e-05, -1e-05, 0.00105
dsgdb9nsd_000309, -2.00145551973, -0.380015, 1.04902168962, 0.03426, 1.03724, -0.15299
dsgdb9nsd_000320, -1.95295293176, -0.393891, 0.725478422077, 0.54321, 0.48032, -0.02312
dsgdb9nsd_000325, -1.3269643763, -0.475483, 0.596197277837, -0.59588, 0.01881, 0.00494
dsgdb9nsd_000327, -2.02603352268, -0.383161, 0.244456803137, 0.07654, 0.18873, 0.13521
dsgdb9nsd_000328, -1.88650160726, -0.411718, 1.49081203017, -0.67167, 0.62698, 1.174
dsgdb9nsd_000344, -1.83996129355, -0.372860, 1.11470601026, -0.19474, 0.94821, -0.55276
dsgdb9nsd_000354, -1.83314787026, -0.366073, 1.49788147024, 1.48142, 0.1306, -0.17885
dsgdb9nsd_000362, -1.95286256758, -0.392144, 1.83333065632, 1.69337, -0.60248, -0.36141
dsgdb9nsd_000367, -1.82930916432, -0.413181, 2.17622685842, 1.67302, -1.39155, -0.02358
dsgdb9nsd_000370, -2.04439728859, -0.454862, 1.45376862303, -0.18115, 0.28242, -1.41452
dsgdb9nsd_000377, -2.16273852436, -0.385516, 0.612031825561, 0.36503, 0.40711, -0.27495
dsgdb9nsd_000379, -1.83693016038, -0.422261, 1.83634541288, 0.14313, 0.06047, -1.82976
dsgdb9nsd_000382, -1.88388617375, -0.402774, 0.949562187642, -0.02319, -0.87736, -0.36245
dsgdb9nsd_000418, -2.11273569046, -0.387343, 0.895761777372, 0.88905, 0.08873, -0.06408
dsgdb9nsd_000436, -2.11832406906, -0.406090, 0.458902754513, 0.44268, -0.08281, -0.08814
dsgdb9nsd_000453, -1.88326217908, -0.398544, 1.68249778915, -0.02284, 1.68232, 0.00875
